# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000000e+06,8.141403470342032961e+04,9.046003855935592641e-01,5.286797097429374315e-01,4.070701735171016935e+02,9.046003855935592641e-01,3.819170120346124242e-02,2.514296485572000209e-03,9.032075479700215626e-01,3.212011200729806551e-04,1.675733752971156343e-03,6.267769317024852738e-01,1.399055651121618822e-03,1.809200771187118733e+02,9.046003855935593752e-01,2.653065783674183123e-02,-5.859932362220788291e-04,9.038458105754176852e-01,8.016159946534117059e-04,1.855947939527695162e-03,1.509150033604974572e-01,7.621969866691791174e-04
3.200000000000000000e+01,2.000000000000000111e-01,2.000000000000000000e+00,2.000000000000000000e+06,5.558571564195165411e+04,6.176190626883517609e-01,6.547186943782501434e-01,2.779285782097582000e+02,6.176190626883515389e-01,5.100753025193589113e-02,1.698964123546637187e-03,6.137599453445659048e-01,4.359399082009859211e-04,2.299345629899185277e-03,1.736602812570911869e+00,3.876345563774356850e-03,1.235238125376703238e+02,6.176190626883516499e-01,3.583619344105768573e-02,2.778164246839175903e-03,6.156689339784569004e-01,1.058943069671194068e-03,2.462479708322014814e-03,3.900257419937134262e-01,1.969826979766229561e-03
3.300000000000000000e+01,2.000000000000000111e-01,3.000000000000000000e+00,2.000000000000000000e+06,4.604335576979564212e+04,5.115928418866182437e-01,7.196285649694986741e-01,2.302167788489781515e+02,5.115928418866181326e-01,5.585407248591477136e-02,2.552914860301485310e-03,5.062008319294276637e-01,4.666524655166143145e-04,2.468298967518166125e-03,2.426404485403772959e+00,5.416081440633421784e-03,1.023185683773236292e+02,5.115928418866181326e-01,3.531593089670882063e-02,1.783162011233956285e-03,5.092129198788731825e-01,1.060502560027309742e-03,2.473993036386807048e-03,4.759844007276066713e-01,2.403961619836397518e-03
3.500000000000000000e+01,2.000000000000000111e-01,4.000000000000000000e+00,2.000000000000000000e+06,3.825926698406137439e+04,4.251029664895707993e-01,6.050927124412585068e-01,1.912963349203068333e+02,4.251029664895707438e-01,4.150911555486747062e-02,1.540360632692690940e-03,4.213724697829828170e-01,3.567496825826331117e-04,1.873170900174135492e-03,1.678723513778214382e+00,3.747150700397799961e-03,8.502059329791416076e+01,4.251029664895707993e-01,3.078877988743437821e-02,4.002429778709756889e-04,4.229407211637210562e-01,9.210658957018878681e-04,2.149114921142081160e-03,4.324490673239240190e-01,2.184086198605677057e-03
3.600000000000000000e+01,2.000000000000000111e-01,5.000000000000000000e+00,2.000000000000000000e+06,3.212879786690671608e+04,3.569866429656301521e-01,4.687222945393919038e-01,1.606439893345335577e+02,3.569866429656301521e-01,3.513667713558780298e-02,1.577775330921337652e-03,3.540604256356465473e-01,2.911263859819006338e-04,1.520733014300410055e-03,1.316797798751453419e+00,2.939280800784494115e-03,7.139732859312603352e+01,3.569866429656301521e-01,2.138205961227336582e-02,-1.220878349455155028e-04,3.557432162750971405e-01,6.421295993164707634e-04,1.494671707506481720e-03,2.486853387462307219e-01,1.255986559324397513e-03
3.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,5.245561029991967371e+04,5.828401144435518821e-01,6.873355044733507890e-01,2.622780514995983481e+02,5.828401144435518821e-01,5.152869982071838634e-02,2.635041998837978766e-03,5.787661584611462073e-01,4.376196936744234430e-04,2.294144266478577183e-03,1.833280202552017624e+00,4.092143309267896358e-03,1.165680228887103738e+02,5.828401144435518821e-01,3.553525541508773672e-02,1.651487359586479827e-03,5.807764359536048415e-01,1.058096460768336803e-03,2.460327489163852219e-03,4.127356961314125328e-01,2.084523717835416994e-03
3.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,6.072617056799289276e+04,6.747352285332544053e-01,7.445821230750204744e-01,3.036308528399644615e+02,6.747352285332544053e-01,5.574152909882876261e-02,1.481186307739251404e-03,6.704934820428202213e-01,4.823830993321659389e-04,2.519594363324100406e-03,1.908785912701107756e+00,4.260682840850686832e-03,1.349470457066508970e+02,6.747352285332545163e-01,3.982972799492365268e-02,1.034568634657079093e-03,6.725018919344185608e-01,1.180638135621832905e-03,2.754173225099110743e-03,4.466673192155762862e-01,2.255895551593819614e-03
4.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,7.497783938356896397e+04,8.330871042618773759e-01,7.710999810568308632e-01,3.748891969178447994e+02,8.330871042618773759e-01,5.942590070613532754e-02,1.478079666184462610e-03,8.290564345342618102e-01,5.199654654933213516e-04,2.731125443659877111e-03,1.813801377007444815e+00,4.048663787963046462e-03,1.666174208523754601e+02,8.330871042618772648e-01,4.224433717422993589e-02,1.014288774360662957e-03,8.309834966026042880e-01,1.274062321725112114e-03,2.971296406752894394e-03,4.207215334478776048e-01,2.124856229534735456e-03
4.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,9.390637076481926488e+04,1.043404119609102843e+00,7.476501332778390241e-01,4.695318538240962880e+02,1.043404119609102843e+00,5.560097404956871464e-02,2.398095757339374634e-03,1.040682713511557278e+00,4.811189752692212273e-04,2.514298523176470342e-03,1.224632739739309750e+00,2.733555222632387711e-03,2.086808239218206040e+02,1.043404119609103065e+00,4.056372449413778863e-02,3.574238789789798646e-03,1.041920626283581619e+00,1.201385784229596319e-03,2.794007200769406136e-03,2.966986637264815707e-01,1.498478099628694753e-03
4.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,1.486233904600834940e+05,1.651371005112038715e+00,7.669701769277279535e-01,7.431169523004174380e+02,1.651371005112038715e+00,5.847886271107198553e-02,2.332738621801810994e-03,1.649414222351043957e+00,5.141987477771490112e-04,2.684090568038634880e-03,8.805522388356199492e-01,1.965518390258080058e-03,3.302742010224077376e+02,1.651371005112038715e+00,3.865112266319858936e-02,2.833905975487571640e-03,1.650493164189932527e+00,1.167782721620920158e-03,2.705092885334054419e-03,1.755681862478437050e-01,8.867080113527459409e-04
4.600000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+06,5.038772003456319217e+05,5.598635559395909844e+00,1.611477068483307296e+00,2.519386001728159499e+03,5.598635559395909844e+00,1.344638412986512432e-01,-2.714605524578110043e-04,5.595391742759812104e+00,1.218006959079406815e-03,6.365087703534625697e-03,1.459717488604932667e+00,3.258297965636010231e-03,1.119727111879181848e+03,5.598635559395908956e+00,1.142014820242506085e-01,5.578059077884261335e-03,5.596325437503865352e+00,3.478370552722243134e-03,8.080464599819028523e-03,4.620243797637805239e-01,2.333456463453436897e-03
4.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+06,3.266150939361135243e+05,3.629056599290150231e+00,1.300520123273623430e+00,1.633075469680567721e+03,3.629056599290150675e+00,1.154600923034787979e-01,3.834122629818421078e-03,3.625457236366578684e+00,1.029953569047063495e-03,5.397034656081305809e-03,1.619713310559516950e+00,3.615431496784636111e-03,7.258113198580301741e+02,3.629056599290150675e+00,1.037253745114424947e-01,2.178790479397742577e-02,3.626746241889981626e+00,2.792476596578871706e-03,6.505273668335804886e-03,4.620714783374073598e-01,2.333694335037410882e-03
4.800000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+06,2.660171955681295949e+05,2.955746617423661959e+00,1.308811348140275221e+00,1.330085977840647502e+03,2.955746617423661071e+00,1.205057214511665170e-01,3.033315000753865689e-03,2.950919979329079901e+00,1.072909629067991637e-03,5.638480436789367230e-03,2.171987138406399787e+00,4.848185576799999771e-03,5.911493234847323492e+02,2.955746617423661959e+00,1.171605999625765504e-01,2.532823594544725970e-02,2.952155791534803786e+00,3.130345010986812244e-03,7.317019562663532213e-03,7.181651770113286481e-01,3.627096853592568816e-03
4.900000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+06,2.292324300234149559e+05,2.547027000260166041e+00,1.416576439482913896e+00,1.146162150117075271e+03,2.547027000260167373e+00,1.153184947703276425e-01,3.872224891361382339e-03,2.541870051124163421e+00,1.029068915831893131e-03,5.409213051088566926e-03,2.320627096819611879e+00,5.179971198258062105e-03,5.094054000520333716e+02,2.547027000260166929e+00,1.051306193883429635e-01,1.653183093638416895e-02,2.543174861410884446e+00,3.004841563757898720e-03,7.034066689398819558e-03,7.704277637515025701e-01,3.891049311876275396e-03
5.000000000000000000e+01,1.000000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+06,2.009661371916248463e+05,2.232957079906942699e+00,1.644207526407165165e+00,1.004830685958124150e+03,2.232957079906942699e+00,1.389303580578742370e-01,5.982867773130106162e-03,2.224692210009352245e+00,1.216864022337191785e-03,6.406398844167491766e-03,3.719191481833634239e+00,8.301766700521505740e-03,4.465914159813885362e+02,2.232957079906942699e+00,1.053641538305093994e-01,4.610776452873228091e-03,2.227907183621266274e+00,3.220600421569123906e-03,7.538018168891849786e-03,1.009979256947465931e+00,5.100905338118515153e-03
5.200000000000000000e+01,1.299999999999999940e-02,1.000000000000000000e+00,2.000000000000000000e+06,5.727368374372716062e+04,6.363742638191907108e-01,5.290379411564718470e-01,2.863684187186357804e+02,6.363742638191905998e-01,3.921018731123664114e-02,1.838975176301306091e-03,6.343216498285488836e-01,3.267303756487794004e-04,1.704784172750457806e-03,9.236763018354571253e-01,2.061777459454145183e-03,1.272748527638381262e+02,6.363742638191905998e-01,2.561811719206473839e-02,7.398560389397225391e-04,6.353968587487995867e-01,7.627553686262504530e-04,1.771035348245849055e-03,1.954810143770881470e-01,9.872778503893339837e-04
5.400000000000000000e+01,1.299999999999999940e-02,2.000000000000000000e+00,2.000000000000000000e+06,4.318970133719204023e+04,4.798855704132448663e-01,6.256346773536872741e-01,2.159485066859601829e+02,4.798855704132448663e-01,4.922296424687237076e-02,2.141390114568650967e-03,4.753713838717406048e-01,4.139361687214372144e-04,2.188604369708557415e-03,2.031383943669198722e+00,4.534339159975890252e-03,9.597711408264899546e+01,4.798855704132449773e-01,3.460376028702358275e-02,8.891915830621206166e-04,4.774575167571529777e-01,1.034951394131360244e-03,2.419713297758456332e-03,4.856107309054928933e-01,2.452579449017641081e-03
5.500000000000000000e+01,1.299999999999999940e-02,3.000000000000000000e+00,2.000000000000000000e+06,3.796736745411290030e+04,4.218596383790322313e-01,7.344098081750650708e-01,1.898368372705644447e+02,4.218596383790321203e-01,5.544496233353084919e-02,1.387520506127482749e-03,4.151784331086469937e-01,4.670314446238750116e-04,2.488317496971790416e-03,3.006542373607181240e+00,6.711032083944600858e-03,8.437192767580643249e+01,4.218596383790321758e-01,3.870481577924998751e-02,9.214093609582407144e-04,4.184313142712420830e-01,1.146089219862862600e-03,2.691661422749477058e-03,6.856648201441143398e-01,3.462953637091486722e-03
5.600000000000000000e+01,1.299999999999999940e-02,4.000000000000000000e+00,2.000000000000000000e+06,3.169008373645109896e+04,3.521120415161232975e-01,6.045472679570925711e-01,1.584504186822555027e+02,3.521120415161233530e-01,4.342935461301310196e-02,1.163447001977638284e-03,3.472781022263811135e-01,3.668502502420242046e-04,1.935754551799683020e-03,2.175272675245543574e+00,4.855519364387374422e-03,7.042240830322467104e+01,3.521120415161233530e-01,3.047876869415064999e-02,-8.825145900741591725e-04,3.496082323109366841e-01,8.987121672651357399e-04,2.102610586460914970e-03,5.007618408025656942e-01,2.529100206073564300e-03
5.700000000000000000e+01,1.299999999999999940e-02,5.000000000000000000e+00,2.000000000000000000e+06,2.619627942141684252e+04,2.910697713490760230e-01,4.121837429697750022e-01,1.309813971070842058e+02,2.910697713490760230e-01,3.004355500855845559e-02,1.205342008650897578e-03,2.884235650938233309e-01,2.488877704893818136e-04,1.305233488877532468e-03,1.190792820252905226e+00,2.658019688064520471e-03,5.821395426981520416e+01,2.910697713490760230e-01,1.820002474267787274e-02,-1.434423280392278885e-04,2.899899712172503974e-01,5.406061443598649983e-04,1.257565411573660120e-03,2.159600268275983503e-01,1.090707206199991765e-03
