'runnr', 'thickness', 'energy', 'events', 'proc_events', 'rmsROOT', 'rmsfrac', 'rmsfrac_norm', 'gauss_mu', 'gauss_si', 'gauss_height', 'gauss_dmu', 'gauss_dsi', 'gauss_chi2', 'gauss_chi2red', 'gauss_si_norm'
30.0, 0.2, 1.0, 2000000.0, 2984466.0, 0.7798489784540571, 0.6753925119682481, 0.49610704421939733, -0.0009707582452751504, 0.674459491662, 34384.35373551242, 0.004013477954714063, 0.0032011227616955407, 20243.530200646775, 100.21549604280582, 0.4980394355953968
32.0, 0.2, 2.0, 2000000.0, 7234272.0, 0.4889760341263161, 0.4046468211708662, 0.27441721083781057, 0.0016498563389191984, 0.40323461128716936, 139362.7446602397, 0.0032156964114420125, 0.002540042141735326, 53430.54310104114, 437.95527132000933, 0.2740762802501065
33.0, 0.2, 3.0, 2000000.0, 8833210.0, 0.3766660171874662, 0.30661141191635816, 0.19166507216038586, -0.0005363503367475595, 0.305663143519539, 225029.0318204874, 0.0024564206652673845, 0.0019341477976904922, 50107.478523384445, 544.6465056889614, 0.18954540669066497
35.0, 0.2, 4.0, 2000000.0, 7989004.0, 0.31912973567584507, 0.25813088378783117, 0.14743574010096128, -0.00042191030409252845, 0.2584337305717969, 241093.11772331203, 0.0020641438668584254, 0.0016233886346708202, 36909.601429564405, 485.6526503890053, 0.14515811403689208
36.0, 0.2, 5.0, 2000000.0, 5626110.0, 0.2848219915184676, 0.2300459135490934, 0.12032429402631378, -0.0005897560627415381, 0.23174361663479945, 189738.84676991787, 0.0016665637939102993, 0.0013101554112161938, 18222.589829809385, 276.0998459062028, 0.11853598037498941
38.0, 1.0, 5.0, 2000000.0, 5221828.0, 0.424587265399745, 0.33890074961901506, 0.2764245493523037, -6.598513718116976e-05, 0.33680696604117316, 120601.78649414169, 0.002610592245784246, 0.0020464347700712687, 31241.200012843598, 300.39615396964996, 0.271633221764833
39.0, 1.0, 4.0, 2000000.0, 6809171.0, 0.4907632599890584, 0.39862027178653614, 0.3376445843978596, -0.00037822738034772404, 0.3961189243692553, 133613.27071491265, 0.002915972585857518, 0.0022935376879320707, 43022.83150790824, 352.6461599008872, 0.3334562748201734
41.0, 1.0, 3.0, 2000000.0, 9560396.0, 0.5982548549546546, 0.49964737600723774, 0.4386028298128288, 0.00023524025590703504, 0.49747255983912014, 149399.95979358107, 0.0032446453001327073, 0.002559815876393235, 58951.87798728529, 387.84130254792956, 0.4358628817462784
42.0, 1.0, 2.0, 2000000.0, 7182845.0, 0.8050304679474392, 0.6980379864441935, 0.6315241770822242, -0.0015147008488123833, 0.6990684134849919, 79791.21226271542, 0.004193024715370153, 0.0033279299893041164, 50854.96361075538, 244.49501735940086, 0.6334163736344711
44.0, 1.0, 1.0, 2000000.0, 2833554.0, 1.3234702689355768, 1.2091193386387522, 1.1188997851333873, 0.0019787349815985596, 1.2326683513071923, 17848.35007622316, 0.004558591884367497, 0.0037271148445076614, 11961.876468829934, 35.60082282389861, 1.1456958312875236
46.0, 10.0, 1.0, 2000000.0, 2645770.0, 2.557288236729045, 2.485551037208523, 2.4429349382801195, 0.8093531574768842, 3.8127129494750522, 5250.370509771458, 0.0054321796291912664, 0.007431144981309573, 665.9002118725241, 1.3901883337630982, 3.7854890976741657
47.0, 10.0, 2.0, 2000000.0, 7071734.0, 2.053989486111992, 1.962278581868422, 1.9396141339400117, 0.16591597198211053, 2.1978393361755173, 24619.717270885252, 0.0029471203870271244, 0.002826081936743059, 4199.577000243018, 9.311700665727313, 2.1778469650772663
48.0, 10.0, 3.0, 2000000.0, 8850379.0, 1.6094704823861994, 1.497341904820412, 1.478092595847812, 0.11195334639681004, 1.5526538366894223, 43756.659535251485, 0.0048631998492150415, 0.004083925379759202, 30119.299822105953, 76.25139195469862, 1.5340245892676123
49.0, 10.0, 4.0, 2000000.0, 6868714.0, 1.3210162935419774, 1.198110577663243, 1.1792263144123698, 0.006622263036799291, 1.2071100719424754, 43706.64592062184, 0.005063030621315913, 0.004087998412608764, 38527.51245654462, 111.67394914940469, 1.1880225632362624
50.0, 10.0, 5.0, 2000000.0, 4078592.0, 1.1315515449040043, 1.0018237364435474, 0.9824498014117586, -0.022769381276505796, 0.9897193336796059, 31598.54496361214, 0.005526727311848316, 0.004401861946852428, 36903.91645349463, 119.81791056329426, 0.9694792593200156
52.0, 0.013, 1.0, 2000000.0, 2649894.0, 0.571395591309339, 0.4756627273058484, 0.12736633876093315, 0.0013521663824523646, 0.47127469695631174, 43637.462607644295, 0.0035540167870998264, 0.0028179465664728825, 21002.493591230625, 143.85269583034673, 0.12348082242389453
54.0, 0.013, 2.0, 2000000.0, 7620473.0, 0.3739957535412397, 0.30416368087855244, 0.06388505682791777, 0.0002715790914632241, 0.30262504421640024, 195811.68692935718, 0.0026779383740938908, 0.002107414379876363, 52439.13121944053, 569.9905567330493, 0.0640435245969375
55.0, 0.013, 3.0, 2000000.0, 9160505.0, 0.30051445075686267, 0.2440073416552244, 0.047587022921723794, 0.00016841554314963727, 0.24407671908488426, 292715.9643298667, 0.0020007326573619456, 0.0015708111748569582, 42278.27157896871, 587.1982163745655, 0.04550767727015747
56.0, 0.013, 4.0, 2000000.0, 8345874.0, 0.2628371084399091, 0.2155968224185984, 0.03984638165540325, -0.0004131730847207769, 0.21686943188276625, 300807.47764390777, 0.0016591032953097652, 0.0013030453111072897, 28788.800137791397, 464.33548609340966, 0.03626617513117473
57.0, 0.013, 5.0, 2000000.0, 5871831.0, 0.2397882641282057, 0.1983024588507745, 0.029676229183590055, -0.0005288135763386533, 0.20112574730598096, 228700.94588585026, 0.001325205795014425, 0.0010469303181849761, 13200.562226140974, 240.01022229347225, 0.028235456820676477
