# ('runnr', 'thickness', 'energy', 'events', 'total_sum', 'total_mean', 'total_rms', 'projection_x_sum', 'projection_x_mean', 'projection_x_rms', 'projection_x_fit_slope', 'projection_x_fit_offset', 'projection_x_fit_dslope', 'projection_x_fit_doffset', 'projection_x_fit_chi2', 'projection_x_fit_chi2red', 'projection_y_sum', 'projection_y_mean', 'projection_y_rms', 'projection_y_fit_slope', 'projection_y_fit_offset', 'projection_y_fit_dslope', 'projection_y_fit_doffset', 'projection_y_fit_chi2', 'projection_y_fit_chi2red')
3.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+06,1.689421889638916809e+02,1.877135432932129861e-03,9.273062142566054766e-02,8.447109448194582981e-01,1.877135432932129644e-03,7.162963574064159546e-03,1.387086349774751691e-04,2.055968528674812293e-03,2.279023690809244473e-05,1.446317031307851409e-04,1.195641368895144829e+00,2.668842341283805299e-03,3.754270865864259843e-01,1.877135432932129861e-03,4.945199053641312695e-03,2.776497832850832086e-04,1.692411207667813720e-03,6.292648667373779527e-05,1.523144222991784473e-04,3.673233204753250103e-01,1.855168285228914193e-03
3.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+06,3.860111997910514958e+01,4.289013331011683173e-04,9.052633854348969555e-02,1.930055998955258478e-01,4.289013331011685341e-04,6.620589376321086780e-03,-1.134936515138250190e-04,9.300072359965457121e-04,1.130224938953096460e-05,8.821244303863002201e-05,1.002162065459066831e+00,2.236968896113988338e-03,8.578026662023360838e-02,4.289013331011680462e-04,4.582126555244363242e-03,-4.178510809378699396e-05,9.923465900245785273e-04,5.178346877965428398e-05,1.203552528915815319e-04,2.993902607338634336e-01,1.512072023908401239e-03
4.100000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+06,1.052292260449254826e+02,1.169213622721394308e-03,8.418226315192872677e-02,5.261461302246274174e-01,1.169213622721394308e-03,6.261762454056848254e-03,-6.244761078288774755e-05,2.166239114151966450e-03,2.441795242523532475e-05,1.288993197472471802e-04,8.747962357147689438e-01,1.952670169006180678e-03,2.338427245442788460e-01,1.169213622721394308e-03,4.577747478721774094e-03,-2.271491655656305786e-05,1.329409158178454856e-03,5.696859307348604032e-05,1.353004934371949757e-04,3.284169127555568446e-01,1.658671276543216295e-03
4.200000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+06,1.777686373579123256e+02,1.975207081754581494e-03,1.088058774416761076e-01,8.888431867895616456e-01,1.975207081754581494e-03,7.916622482770243815e-03,9.673572719538402946e-05,1.673749606071938496e-03,2.748050754060168347e-05,1.421634133741146700e-04,1.460605315702997231e+00,3.260279722551333043e-03,3.950414163509162746e-01,1.975207081754581494e-03,4.939079657150589019e-03,-1.273124793726523895e-04,1.812506375070967310e-03,7.781690752899024554e-05,1.666688430199713192e-04,3.917226695826012128e-01,1.978397321124248515e-03
4.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+06,2.549377286128267883e+02,2.832641429031408815e-03,2.132373199197943880e-01,1.274688643064133764e+00,2.832641429031408382e-03,1.505859028064458587e-02,3.044604564625220185e-04,4.846783677116159490e-03,5.701202232124083242e-05,3.060838040980464652e-04,2.151537748009513251e+00,4.802539616092663631e-03,5.665282858062817839e-01,2.832641429031408815e-03,1.020460075126186812e-02,-3.188976879016782264e-04,2.339464097011939581e-03,1.094094631581221341e-04,2.820515953849883411e-04,8.521026073955197955e-01,4.303548522199595119e-03
4.600000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+06,1.510314951274132181e+04,1.678127723637924673e-01,7.104840560850836928e-01,7.551574756370661134e+01,1.678127723637924673e-01,1.699374189360286780e-01,2.874032097214082246e-02,1.611656781712378084e-01,5.482109615953371408e-04,2.351934444762581334e-03,6.553213694256617927e+00,1.462770913896566452e-02,3.356255447275849946e+01,1.678127723637924951e-01,5.796607012811662296e-02,-2.273981319557321842e-02,1.608854405533648169e-01,9.839424148690158970e-04,2.372513923340390830e-03,1.385466360000960684e+00,6.997304848489700572e-03
4.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+06,1.306964248537973253e+04,1.452182498375525765e-01,3.371134379035523043e-01,6.534821242689866949e+01,1.452182498375526043e-01,9.351108613669664726e-02,1.731655511873089401e-02,1.417708172074637341e-01,1.775108456778472482e-04,1.245411991897911550e-03,2.199541575737551824e+00,4.909691017271321407e-03,2.904364996751051820e+01,1.452182498375526043e-01,4.014276411151965207e-02,-1.585781154093345718e-02,1.432923002724170169e-01,5.051003192553447886e-04,1.180595945290241694e-03,3.851899143067665232e-01,1.945403607609931832e-03
4.800000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+06,8.766833785374783474e+03,9.740926428194203457e-02,2.564538825037233627e-01,4.383416892687392163e+01,9.740926428194204845e-02,7.482670683921834043e-02,1.332192521356905489e-02,9.090916389200262571e-02,2.306282757274892093e-04,1.272775692777972003e-03,3.590055414741112116e+00,8.013516550761410479e-03,1.948185285638841080e+01,9.740926428194204845e-02,2.763274732387491564e-02,-1.071493652042633353e-02,9.600435965777384673e-02,3.538601866809591061e-04,8.253464800322991976e-04,2.809809234505546427e-01,1.419095572982599293e-03
4.900000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+06,2.719857861706112089e+03,3.022064290784568993e-02,2.576762022301057331e-01,1.359928930853055817e+01,3.022064290784568646e-02,4.885952771665728889e-02,6.930099282713359996e-03,2.638908778358825882e-02,2.213144308662024059e-04,7.560506635661100186e-04,3.781985854728555196e+00,8.441932711447667353e-03,6.044128581569138348e+00,3.022064290784569340e-02,2.003348233298895067e-02,-6.335988626342466470e-03,2.484212519318959242e-02,3.725779153794110178e-04,9.041410358527048269e-04,1.270067572902144448e+00,6.414482691424971961e-03
5.000000000000000000e+01,1.000000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+06,7.640388815074298918e+02,8.489320905638109496e-03,3.231909487961027727e-01,3.820194407537147896e+00,8.489320905638106027e-03,4.459672817749126689e-02,3.946464679072861532e-03,1.037345409760910379e-02,1.880733913250635264e-04,5.508083760720863028e-04,4.454832847036438892e+00,9.943823319277764888e-03,1.697864181127621830e+00,8.489320905638109496e-03,1.663645198630624156e-02,-6.003069090578309593e-04,3.211543998926294843e-03,2.618729450345462398e-04,4.722724808825834084e-04,1.872864893064162928e+00,9.458913601334155430e-03
5.200000000000000000e+01,1.299999999999999940e-02,1.000000000000000000e+00,2.000000000000000000e+06,9.842291518141429663e+00,1.093587946460158785e-04,1.015772165435062657e-01,4.921145759070708059e-02,1.093587946460157295e-04,7.426214002507221419e-03,-3.445978473012227625e-05,1.179276892356208827e-03,2.361616019797564185e-05,1.115596182069902723e-04,1.055830777239199936e+00,2.356765127766071409e-03,2.187175892920318471e-02,1.093587946460159192e-04,5.167105769491623160e-03,-4.017232610733226716e-05,4.621297489882021138e-04,5.166344542752651783e-05,9.193005243181969161e-05,3.648503669102136637e-01,1.842678620758654920e-03
5.400000000000000000e+01,1.299999999999999940e-02,2.000000000000000000e+00,2.000000000000000000e+06,-3.750507173123757809e+01,-4.167230192359730858e-04,6.360341880247873114e-02,-1.875253586561878016e-01,-4.167230192359728689e-04,4.886940800065404759e-03,-2.270426319548077509e-05,6.439158332153469824e-04,1.874360753569643675e-05,6.922239408470210896e-05,6.264323270023272050e-01,1.398286444201623287e-03,-8.334460384719462323e-02,-4.167230192359731400e-04,3.062553757957690512e-03,-8.307174556279266046e-05,6.459822225987228977e-04,2.772557187224669725e-05,7.665666375313092849e-05,1.454825101462025039e-01,7.347601522535479775e-04
5.500000000000000000e+01,1.299999999999999940e-02,3.000000000000000000e+00,2.000000000000000000e+06,-2.826140267197062172e+01,-3.140155852441180412e-04,6.139870464131230721e-02,-1.413070133598531564e-01,-3.140155852441181496e-04,4.701873805334128888e-03,-3.644201074903353928e-06,4.954592761899566074e-04,1.608703864363104715e-05,6.246677629173229317e-05,6.609983463382672619e-01,1.475442737362203617e-03,-6.280311704882363122e-02,-3.140155852441181496e-04,3.329094350411321811e-03,-8.667668353383930634e-05,5.552918738852133992e-04,2.918830129847287474e-05,8.018702251771269362e-05,1.849003950192472656e-01,9.338403788850871672e-04
5.600000000000000000e+01,1.299999999999999940e-02,4.000000000000000000e+00,2.000000000000000000e+06,3.017590187020406134e+01,3.352877985578229256e-04,5.710302559473424272e-02,1.508795093510202634e-01,3.352877985578228172e-04,4.427851105205431181e-03,-9.373577251039408298e-06,1.000419183837960484e-03,1.677788918417037439e-05,7.930886990856128918e-05,6.118482268192881879e-01,1.365732649150196848e-03,6.705755971156465711e-02,3.352877985578233051e-04,3.096606912575127889e-03,-7.998599266089346691e-05,5.559817178119421440e-04,4.241258446916870077e-05,8.972811971059876631e-05,2.278192775352373411e-01,1.150602411794128012e-03
5.700000000000000000e+01,1.299999999999999940e-02,5.000000000000000000e+00,2.000000000000000000e+06,8.607857215930422967e+01,9.564285795478248220e-04,4.728171324319500879e-02,4.303928607965210595e-01,9.564285795478246052e-04,3.962378559020589275e-03,2.726776921582059353e-06,8.180760480943832314e-04,1.562601522363870756e-05,7.192813352473799871e-05,6.967668548120807825e-01,1.555283158062680318e-03,1.912857159095649739e-01,9.564285795478248220e-04,2.555948384329475524e-03,5.294812045564958685e-05,7.491754274115247202e-04,3.821571323770763624e-05,7.836387576741231972e-05,2.149453258275692558e-01,1.085582453674592118e-03
